hidden_layers,activation,solver,max_iter,accuracy,f1_score,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,validation_fraction,n_iter_no_change,learning_rate,alpha,batch_size,learning_rate_init,momentum,nesterovs_momentum,early_stopping,tol,n_iter_,n_layers_,n_outputs_,timestamp
"(400, 200, 100, 50)",logistic,adam,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,6,1,2024-12-27 02:10:36.282419
"(400, 200, 100, 50)",logistic,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,6,1,2024-12-27 02:10:35.668809
"(200, 100)",logistic,sgd,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,99,4,1,2024-12-27 02:03:31.655467
"(200, 100)",logistic,sgd,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,99,4,1,2024-12-27 02:03:30.238813
"(200, 100)",logistic,sgd,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,99,4,1,2024-12-27 02:03:28.993825
"(200, 100)",logistic,sgd,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,99,4,1,2024-12-27 02:03:27.749293
"(200, 100)",logistic,adam,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,4,1,2024-12-27 02:03:26.497192
"(200, 100)",logistic,adam,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,4,1,2024-12-27 02:03:26.239719
"(200, 100)",logistic,adam,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,4,1,2024-12-27 02:03:25.988560
"(200, 100)",logistic,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,4,1,2024-12-27 02:03:25.738053
"(200, 100, 50, 25)",logistic,sgd,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,105,6,1,2024-12-27 02:08:35.573706
